"filename", "language", "Markdown", "JSON with Comments", "CSS", "HTML", "JSON", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\Konsti\Documents\GitHub\pokeblob\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\Konsti\Documents\GitHub\pokeblob\TODO.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Konsti\Documents\GitHub\pokeblob\package-lock.json", "JSON", 0, 0, 0, 0, 16048, 0, 0, 0, 0, 1, 16049
"c:\Users\Konsti\Documents\GitHub\pokeblob\package.json", "JSON", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 40
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\index.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 23, 3, 43
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\0.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\10.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\11.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\12.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\6.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\7.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\8.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\blob\9.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\cardBackground\0.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\cardBackground\1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\cardBackground\2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Konsti\Documents\GitHub\pokeblob\public\media\blobs\cardBackground\3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\App.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\Classes\Attack.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\Classes\Pokeglob.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\Classes\PokeglobCard.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\Pages\CardCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 9, 49
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\Pages\LibraryPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\Pages\StartingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\index.css", "CSS", 0, 0, 45, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\utils\blobLoading.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 1, 4, 31
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\utils\color.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\utils\drawCard.ts", "TypeScript", 0, 0, 0, 0, 0, 171, 0, 0, 9, 29, 209
"c:\Users\Konsti\Documents\GitHub\pokeblob\src\utils\randomData.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 7, 33
"c:\Users\Konsti\Documents\GitHub\pokeblob\tsconfig.json", "JSON with Comments", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"Total", "-", 11, 12, 60, 17, 16113, 286, 91, 60, 34, 114, 16798